"Problem,Dimension_1","Problem,Dimension_2",Best,Worst,Median,Mean,Std,CPUtime
F1,30,MHO,SA,1996.3868161193,12896.3582541744,22661.2098607569,0.796875
F2,10,MHO,SA,1.69407994542393,576360.610359862,1822604.38247871,0.515625
F3,10,MHO,WOA,883.886148042068,4826.50818411187,7938.27023606395,0.578125
F4,10,MHO,SA,14.5628423052412,23.0376963217619,27.4098716779236,0.53125
F5,10,WO,SA,27062.9890424168,17983317.7326394,56310224.647118,0.015625
F6,10,MHO,SA,92.429119112247,1267.4969848236,3507.20929017763,0.71875
F7,10,MHO,SA,0.0480837311448779,1.58530731486617,4.72792381156506,0.546875
F8,10,Puma,GWO,-2195.38029181337,-2420.65935068127,755.595120805108,0.03125
F9,10,Puma,SA,48.7483465968079,50.5213799478691,46.9077900722981,0
F10,10,MHO,WOA,6.79648284998768,7.21042119067178,7.73650288405252,0.40625
F11,10,Puma,SA,1.79588567773442,16.2590851281881,41.2469301168215,0.03125
F12,10,WO,SA,11.2820801628495,37442836.5613256,118383844.017388,0
F13,10,MHO,SA,234.329390545139,87444073.140573,276172500.681713,1.21875
F14,2,Puma,SA,7.51429168980438,10.0736472528718,7.88656156708654,0.03125
F15,4,WO,SA,0.00244418168389527,0.0217853486453905,0.0542660278284471,0
F16,2,MHO,SA,-1.03040325280684,149.115831202035,474.797737302717,0.359375
F17,2,MHO,SA,0.398115713260823,0.723444133543219,1.01590758825023,0.640625
F18,2,MHO,SA,3.30965240525315,671.937174175868,2105.02855992261,0.375
F19,3,MHO,GA,-0.300478907194946,-0.626877084186957,1.11044861769096,0.546875
F20,6,MHO,SA,-3.0161669357723,-2.76159114829691,0.844769177146844,0.578125
F21,4,MHO,SA,-3.05083491253167,-4.30883574032094,3.29812546959158,0.609375
F22,4,ABC,SA,-4.27585364359704,-5.51311635228368,3.79071888382822,0
F23,4,WO,SA,-3.3980436157358,-4.73564782052926,3.99193143237997,0
