"Problem, Dimension",BestCost,Median,Mean,Std,CPUtimes
"F1, {30} ""best""",MHO,Puma,MHO,MHO,SA
"F1, {30} ""worst""",SA,SA,SA,HBO,MHO
"F2, {10} ""best""",MHO,Puma,Puma,SA,SA
"F2, {10} ""worst""",SA,SA,SA,WO,MHO
"F3, {10} ""best""",MHO,Puma,Puma,Puma,SA
"F3, {10} ""worst""",SA,SA,SA,WO,MHO
"F4, {10} ""best""",MHO,Puma,Puma,Puma,SA
"F4, {10} ""worst""",SA,SA,SA,WOA,MHO
"F5, {10} ""best""",WO,WO,Puma,SA,HBO
"F5, {10} ""worst""",SA,SA,SA,HBO,MHO
"F6, {10} ""best""",MHO,MHO,Puma,Puma,GA
"F6, {10} ""worst""",SA,SA,SA,SA,MHO
"F7, {10} ""best""",MHO,MHO,Puma,SA,GA
"F7, {10} ""worst""",SA,SA,SA,WO,MHO
"F8, {10} ""best""",WOA,WOA,Puma,GWO,WO
"F8, {10} ""worst""",GWO,GWO,GWO,WOA,MHO
"F9, {10} ""best""",WO,WO,WO,SA,GA
"F9, {10} ""worst""",SA,SA,SA,Puma,MHO
"F10, {10} ""best""",MHO,Puma,Puma,SA,ABC
"F10, {10} ""worst""",SA,SA,SA,WO,MHO
"F11, {10} ""best""",Puma,Puma,MHO,MHO,SA
"F11, {10} ""worst""",SA,SA,SA,HBO,MHO
"F12, {10} ""best""",WO,WO,Puma,SA,GWO
"F12, {10} ""worst""",SA,SA,SA,WO,MHO
"F13, {10} ""best""",GWO,MHO,Puma,SA,SA
"F13, {10} ""worst""",SA,SA,SA,HBO,MHO
"F14, {2} ""best""",MHO,Puma,WO,GA,SA
"F14, {2} ""worst""",WOA,SA,SA,SA,MHO
"F15, {4} ""best""",MHO,MHO,GWO,ABC,GA
"F15, {4} ""worst""",SA,SA,SA,MHO,MHO
"F16, {2} ""best""",MHO,MHO,Puma,SA,GA
"F16, {2} ""worst""",SA,SA,SA,HBO,MHO
"F17, {2} ""best""",MHO,MHO,WOA,SA,GWO
"F17, {2} ""worst""",SA,SA,SA,MHO,MHO
"F18, {2} ""best""",MHO,MHO,GWO,SA,SA
"F18, {2} ""worst""",SA,SA,SA,MHO,MHO
"F19, {3} ""best""",MHO,MHO,MHO,GWO,SA
"F19, {3} ""worst""",GA,GA,GA,MHO,MHO
"F20, {6} ""best""",MHO,MHO,MHO,SA,GWO
"F20, {6} ""worst""",SA,SA,SA,WO,MHO
"F21, {4} ""best""",GWO,PSO,PSO,SA,SA
"F21, {4} ""worst""",SA,SA,SA,GA,MHO
"F22, {4} ""best""",MHO,MHO,MHO,SA,SA
"F22, {4} ""worst""",SA,SA,SA,HBO,MHO
"F23, {4} ""best""",WO,WO,WO,SA,GWO
"F23, {4} ""worst""",SA,SA,SA,HBO,MHO
